# Vocabulaire des themes appris sur le corpus (corpus.ApprendreThemes) : ne pas modifier a la main.
# langue	theme	racine	poids
de	programmation	100	1.65
de	redaction_pro	2023	1.82
de	relations_psychologie	aber	2.10
de	redaction_pro	addres	4.59
de	programmation	algorithm	5.16
de	relations_psychologie	all	1.69
de	relations_psychologie	allein	3.09
de	histoire_societe	als	1.11
de	relations_psychologie	also	1.27
de	relations_psychologie	alten	1.82
de	relations_psychologie	alter	2.19
de	relations_psychologie	ander	2.16
de	relations_psychologie	anderen	3.36
de	informatique_materiel	android	5.84
de	cinema_series	anim	7.29
de	redaction_pro	anonymiz	4.59
de	redaction_pro	anschreiben	5.03
de	redaction_pro	antwort	1.87
de	relations_psychologie	anzahl	1.75
de	web	api	4.63
de	informatique_materiel	app	1.69
de	web	app	2.17
de	redaction_pro	arbeit	1.33
de	relations_psychologie	arbeit	1.67
de	redaction_pro	arbeiten	1.10
de	relations_psychologie	arbeiten	1.12
de	sante	arzt	5.38
de	relations_psychologie	auch	1.83
de	education	aufsatz	5.32
de	histoire_societe	aus	1.26
de	maths	aus	1.49
de	relations_psychologie	ausfuhrlich	1.78
de	voyage	ausland	3.83
de	informatique_materiel	befehl	1.60
de	programmation	befehl	2.02
de	relations_psychologie	bei	1.03
de	sante	bei	1.39
de	relations_psychologie	beid	2.10
de	relations_psychologie	beiden	1.55
de	sante	beispiel	2.65
de	maths	berechn	6.73
de	redaction_pro	bereit	1.41
de	relations_psychologie	bereit	1.91
de	relations_psychologie	beschreiben	1.99
de	redaction_pro	bess	1.29
de	relations_psychologie	besser	2.19
de	relations_psychologie	besteht	1.42
de	voyage	besuchen	4.34
de	emploi_carriere	bewerbung	5.53
de	relations_psychologie	beziehung	5.36
de	redaction_pro	bin	1.97
de	relations_psychologie	bis	1.00
de	finance	bitcoin	5.21
de	redaction_pro	bitt	1.37
de	redaction_pro	bitten	4.90
de	relations_psychologie	bleiben	1.85
de	relations_psychologie	bleibt	2.19
de	marketing_business	brand	5.64
de	relations_psychologie	brauch	1.25
de	informatique_materiel	chatgpt	1.06
de	programmation	cod	1.47
de	web	cod	2.55
de	web	com	3.87
de	informatique_materiel	comput	3.98
de	web	css	5.55
de	poesie_paroles	dabei	1.30
de	relations_psychologie	dabei	1.31
de	relations_psychologie	dafur	1.11
de	redaction_pro	daher	1.65
de	relations_psychologie	daher	1.72
de	redaction_pro	damit	1.21
de	redaction_pro	dank	1.46
de	relations_psychologie	dann	1.17
de	redaction_pro	darauf	1.46
de	relations_psychologie	darin	2.50
de	redaction_pro	darub	1.46
de	programmation	datei	2.46
de	informatique_materiel	debian	4.43
de	redaction_pro	dein	1.07
de	histoire_societe	dem	1.21
de	relations_psychologie	dem	1.27
de	relations_psychologie	denen	2.11
de	relations_psychologie	denn	1.99
de	relations_psychologie	dennoch	3.46
de	histoire_societe	des	1.61
de	relations_psychologie	deshalb	1.68
de	langues_traduction	deutsch	3.25
de	histoire_societe	deutschland	3.73
de	redaction_pro	dich	1.44
de	relations_psychologie	dies	1.28
de	relations_psychologie	diesem	1.23
de	redaction_pro	diesen	1.82
de	images_ia	diffusi	5.61
de	langues_traduction	dir	1.96
de	redaction_pro	dir	1.01
de	redaction_pro	doch	1.69
de	relations_psychologie	doch	2.09
de	voyage	dort	1.71
de	informatique_materiel	druck	3.25
de	histoire_societe	durch	2.06
de	relations_psychologie	durch	1.12
de	relations_psychologie	eigenen	1.61
de	animaux	einem	1.52
de	maths	einem	1.20
de	education	einen	1.02
de	maths	einer	1.79
de	relations_psychologie	einer	1.33
de	sciences	einer	1.15
de	cuisine	einfach	1.78
de	relations_psychologie	einfach	1.15
de	redaction_pro	einig	1.05
de	relations_psychologie	einmal	2.16
de	relations_psychologie	eltern	2.44
de	redaction_pro	email	6.00
de	sciences	end	2.35
de	langues_traduction	englisch	3.11
de	relations_psychologie	entsprechend	1.85
de	relations_psychologie	erhalten	1.56
de	langues_traduction	erklar	2.90
de	relations_psychologie	erklaren	1.60
de	redaction_pro	erst	1.05
de	relations_psychologie	erst	1.48
de	education	erstell	1.19
de	images_ia	erstell	2.07
de	cuisine	erstellen	2.80
de	histoire_societe	ersten	2.63
de	relations_psychologie	ersten	1.91
de	cuisine	essen	1.95
de	education	etwa	1.59
de	maths	etwa	1.98
de	informatique_materiel	excel	5.08
de	relations_psychologie	extrem	3.29
de	relations_psychologie	fall	1.64
de	relations_psychologie	famili	1.55
de	relations_psychologie	fast	2.88
de	relations_psychologie	fehl	2.44
de	redaction_pro	firma	1.54
de	relations_psychologie	firma	1.09
de	sport_nutrition	fitnes	5.54
de	relations_psychologie	foku	2.61
de	langues_traduction	folgenden	2.80
de	web	for	2.18
de	relations_psychologie	format	3.09
de	redaction_pro	formulieren	4.90
de	education	fragen	1.83
de	redaction_pro	fragen	1.18
de	relations_psychologie	fragen	1.13
de	redaction_pro	frau	2.53
de	relations_psychologie	freund	2.84
de	relations_psychologie	freundin	4.19
de	redaction_pro	freundlichen	3.30
de	programmation	from	1.98
de	web	from	1.77
de	relations_psychologie	ganz	1.74
de	relations_psychologie	gar	2.78
de	programmation	geb	1.21
de	redaction_pro	geb	1.14
de	cuisine	geben	2.70
de	poesie_paroles	gedicht	4.59
de	redaction_pro	geehrt	5.42
de	relations_psychologie	gefuhl	2.78
de	relations_psychologie	gegen	1.65
de	relations_psychologie	gehen	1.02
de	relations_psychologie	gehort	1.68
de	relations_psychologie	geht	1.02
de	relations_psychologie	geld	1.33
de	relations_psychologie	gemeinsam	1.72
de	relations_psychologie	gerad	2.09
de	cuisine	gericht	3.47
de	redaction_pro	gern	2.64
de	fiction	geschicht	3.81
de	relations_psychologie	gesehen	4.19
de	relations_psychologie	gesellschaft	1.82
de	relations_psychologie	gesellschaftlichen	2.78
de	relations_psychologie	gesprach	2.19
de	cuisine	gesund	2.37
de	sante	gesundheit	5.85
de	relations_psychologie	gibt	1.27
de	programmation	git	5.16
de	programmation	github	3.07
de	relations_psychologie	gleich	1.99
de	relations_psychologie	gleichen	2.16
de	redaction_pro	gmbh	2.98
de	informatique_materiel	googl	2.78
de	langues_traduction	grammatik	4.71
de	relations_psychologie	grund	2.29
de	langues_traduction	gut	1.29
de	relations_psychologie	gut	1.08
de	relations_psychologie	guten	1.99
de	redaction_pro	hab	1.36
de	relations_psychologie	haben	2.17
de	poesie_paroles	haiku	5.62
de	redaction_pro	hallo	1.82
de	redaction_pro	hast	1.00
de	relations_psychologie	hast	1.16
de	relations_psychologie	hat	1.88
de	relations_psychologie	hatt	1.60
de	relations_psychologie	hatten	2.19
de	education	helfen	2.04
de	redaction_pro	helfen	1.47
de	redaction_pro	herr	2.03
de	redaction_pro	heut	2.14
de	relations_psychologie	hier	1.28
de	web	hier	1.10
de	redaction_pro	hilf	1.81
de	voyage	hotel	4.06
de	informatique_materiel	how	2.99
de	web	html	6.58
de	web	http	5.61
de	animaux	hund	6.54
de	redaction_pro	ihm	1.73
de	relations_psychologie	ihm	2.26
de	relations_psychologie	ihn	1.06
de	redaction_pro	ihnen	2.56
de	relations_psychologie	ihr	1.74
de	voyage	ihr	1.19
de	relations_psychologie	ihrem	1.61
de	relations_psychologie	ihren	3.34
de	relations_psychologie	ihrer	2.45
de	education	immer	1.04
de	relations_psychologie	immer	2.22
de	redaction_pro	informationen	1.46
de	relations_psychologie	inhalt	1.48
de	relations_psychologie	innerhalb	1.82
de	marketing_business	instagram	6.60
de	informatique_materiel	install	5.33
de	maths	integral	5.99
de	informatique_materiel	iphon	4.60
de	relations_psychologie	jahr	1.15
de	relations_psychologie	jahren	1.88
de	programmation	java	4.58
de	programmation	javascript	2.97
de	relations_psychologie	jed	2.20
de	relations_psychologie	jeder	1.57
de	relations_psychologie	jedoch	2.54
de	relations_psychologie	jetzt	1.99
de	programmation	join	4.85
de	relations_psychologie	jung	2.19
de	cuisine	kalorienarm	6.18
de	cuisine	kalorienarmen	5.08
de	cinema_series	kannst	1.25
de	cuisine	kannst	2.03
de	relations_psychologie	kapitel	1.72
de	animaux	katz	6.67
de	relations_psychologie	kein	2.17
de	education	kind	2.35
de	relations_psychologie	kind	1.14
de	relations_psychologie	klein	1.21
de	cuisine	kochen	6.13
de	relations_psychologie	kommen	1.34
de	relations_psychologie	konnen	1.28
de	sante	konnen	1.88
de	relations_psychologie	konnt	1.72
de	relations_psychologie	kopf	4.70
de	relations_psychologie	kunden	1.82
de	fiction	kurz	1.90
de	fiction	kurzgeschicht	5.75
de	voyage	land	3.44
de	informatique_materiel	laptop	4.60
de	redaction_pro	lassen	1.60
de	relations_psychologie	leben	1.17
de	sante	leben	2.67
de	education	lehr	4.81
de	relations_psychologie	lesen	1.68
de	relations_psychologie	letzt	4.26
de	redaction_pro	lieb	1.55
de	musique	lied	7.17
de	relations_psychologie	liegt	2.34
de	web	link	2.51
de	informatique_materiel	linu	5.42
de	relations_psychologie	mach	1.27
de	relations_psychologie	macht	1.75
de	redaction_pro	mail	6.77
de	relations_psychologie	mal	2.70
de	relations_psychologie	mann	1.61
de	relations_psychologie	mehr	2.57
de	relations_psychologie	mehreren	2.75
de	redaction_pro	mein	1.35
de	relations_psychologie	mein	1.54
de	redaction_pro	meinem	1.14
de	redaction_pro	meinen	3.08
de	relations_psychologie	meinung	2.36
de	relations_psychologie	menschen	1.87
de	relations_psychologie	meter	2.78
de	redaction_pro	mich	2.17
de	jeux_video	minecraft	7.10
de	cuisine	mir	1.13
de	redaction_pro	mitarbeit	2.20
de	redaction_pro	mocht	1.99
de	relations_psychologie	moglichkeit	1.85
de	voyage	moglichkeiten	2.70
de	relations_psychologie	moglichst	1.55
de	relations_psychologie	monat	2.19
de	redaction_pro	morgen	1.47
de	relations_psychologie	morgen	1.02
de	maths	mus	1.50
de	musique	musik	7.33
de	relations_psychologie	muskeln	3.29
de	relations_psychologie	mussen	1.76
de	sciences	nach	1.13
de	redaction_pro	nachst	2.98
de	voyage	nachteil	4.08
de	redaction_pro	nam	1.70
de	relations_psychologie	namen	1.33
de	relations_psychologie	naturlich	2.42
de	relations_psychologie	nehmen	1.72
de	relations_psychologie	nennen	1.51
de	web	net	3.46
de	cinema_series	netfli	6.98
de	redaction_pro	neu	1.24
de	relations_psychologie	neuen	1.88
de	relations_psychologie	nicht	1.99
de	relations_psychologie	niveau	2.13
de	relations_psychologie	noch	1.36
de	education	noten	5.77
de	cuisine	nudeln	3.98
de	redaction_pro	nun	1.16
de	relations_psychologie	nun	1.53
de	relations_psychologie	nur	1.46
de	relations_psychologie	nutzen	1.34
de	relations_psychologie	oder	1.05
de	relations_psychologie	oft	1.82
de	informatique_materiel	ordn	2.82
de	web	org	3.97
de	relations_psychologie	ort	1.82
de	cuisine	paar	1.25
de	relations_psychologie	paar	1.14
de	relations_psychologie	partn	2.78
de	relations_psychologie	passt	1.99
de	redaction_pro	per	2.96
de	relations_psychologie	pers	1.55
de	relations_psychologie	personen	1.82
de	philosophie_religion	philosophi	6.12
de	sciences	physik	6.37
de	jeux_video	pokem	6.51
de	histoire_societe	politik	6.56
de	histoire_societe	politisch	3.62
de	redaction_pro	presidio	4.59
de	programmation	print	5.16
de	relations_psychologie	problem	2.37
de	relations_psychologie	produkt	1.09
de	programmation	programm	1.87
de	programmation	programmieren	5.75
de	images_ia	prompt	4.57
de	relations_psychologie	punkt	1.86
de	programmation	pyth	5.14
de	poesie_paroles	rap	6.05
de	relations_psychologie	recht	1.82
de	droit	rechtlich	7.71
de	poesie_paroles	reim	5.62
de	voyage	reis	4.40
de	philosophie_religion	religi	7.08
de	web	return	3.29
de	cuisine	rezept	7.11
de	relations_psychologie	richtig	1.56
de	informatique_materiel	rout	3.13
de	relations_psychologie	sagen	2.64
de	relations_psychologie	satz	2.42
de	redaction_pro	sch	1.52
de	relations_psychologie	sch	1.94
de	relations_psychologie	schnell	1.71
de	fiction	schreib	1.54
de	poesie_paroles	schreib	1.69
de	fiction	schreiben	1.16
de	redaction_pro	schreiben	1.39
de	education	schul	6.14
de	programmation	script	1.87
de	web	script	1.70
de	relations_psychologie	sehen	1.55
de	redaction_pro	sehr	1.31
de	relations_psychologie	sehr	1.61
de	relations_psychologie	sei	1.72
de	relations_psychologie	sein	1.10
de	relations_psychologie	seinen	1.55
de	relations_psychologie	seit	1.00
de	web	seit	1.52
de	relations_psychologie	selbst	1.77
de	programmation	select	3.92
de	redaction_pro	send	2.40
de	informatique_materiel	serv	1.52
de	programmation	serv	1.94
de	relations_psychologie	sich	1.81
de	relations_psychologie	sie	1.65
de	relations_psychologie	sind	1.01
de	sciences	sind	1.75
de	relations_psychologie	situati	1.82
de	programmation	skript	2.82
de	informatique_materiel	softwar	2.20
de	relations_psychologie	solch	2.36
de	relations_psychologie	sollen	1.17
de	relations_psychologie	sollst	2.78
de	redaction_pro	sollt	1.03
de	relations_psychologie	sondern	2.37
de	programmation	spiel	1.19
de	relations_psychologie	sprach	1.56
de	programmation	sql	4.91
de	relations_psychologie	staat	2.94
de	images_ia	stabl	7.10
de	relations_psychologie	stark	1.53
de	relations_psychologie	stehen	1.78
de	redaction_pro	stell	1.39
de	relations_psychologie	stellen	1.17
de	finance	steuern	6.62
de	poesie_paroles	stil	3.15
de	programmation	string	3.41
de	voyage	studium	3.32
de	relations_psychologie	system	1.19
de	redaction_pro	tag	1.01
de	redaction_pro	team	2.68
de	redaction_pro	termin	4.14
de	langues_traduction	text	2.14
de	web	the	1.01
de	education	thema	2.00
de	web	this	2.62
de	marketing_business	tiktok	5.64
de	cuisine	tipp	2.01
de	informatique_materiel	tool	2.03
de	finance	trad	5.38
de	sport_nutrition	train	7.51
de	web	tru	3.29
de	relations_psychologie	tun	1.39
de	education	uber	1.45
de	fiction	uber	1.72
de	poesie_paroles	uber	1.58
de	langues_traduction	ubersetz	7.08
de	informatique_materiel	ubuntu	4.74
de	redaction_pro	uns	1.98
de	redaction_pro	unser	1.25
de	informatique_materiel	unter	1.02
de	redaction_pro	unternehmen	2.11
de	voyage	urlaub	5.43
de	informatique_materiel	usb	4.86
de	cuisine	vegetarisch	6.01
de	relations_psychologie	verschieden	1.61
de	relations_psychologie	viel	1.63
de	sciences	viel	2.37
de	relations_psychologie	vielen	1.44
de	relations_psychologie	vom	1.21
de	voyage	vor	2.44
de	relations_psychologie	vorteil	1.99
de	relations_psychologie	wahrend	1.02
de	relations_psychologie	war	1.62
de	relations_psychologie	waren	2.52
de	relations_psychologie	warum	1.36
de	sciences	was	1.31
de	web	watch	4.12
de	web	web	4.35
de	web	webseit	5.64
de	redaction_pro	weg	1.46
de	relations_psychologie	weg	2.23
de	relations_psychologie	wegen	2.50
de	relations_psychologie	weiblich	2.94
